dataset,index,method,recall,rise,mas
vt_h2_c3,53,FT_K1,0.6428571428571429,0.13136363636363635,0.20364507939125426
vt_h2_c3,53,ifr-tokenwise,0.75,0.14,0.19184900187343343
vt_h2_c3,53,FT_K3,0.6428571428571429,,
vt_h2_c3,54,DT,0.7,0.13176258992805756,0.14821574829599818
vt_h2_c3,54,FT_K1,0.6666666666666666,0.16499999999999998,0.2322762060293632
vt_h2_c3,54,ifr-tokenwise,0.7666666666666667,0.1848561151079137,0.25337917975747115
vt_h2_c3,54,FT_K3,0.6666666666666666,,
vt_h2_c3,55,DT,0.75,0.11466442953020133,0.12534020552568964
vt_h2_c3,55,FT_K1,0.6428571428571429,0.1580201342281879,0.22603193578476327
vt_h2_c3,55,ifr-tokenwise,0.7857142857142857,0.1692953020134228,0.23318863920332195
vt_h2_c3,55,FT_K3,0.6428571428571429,,
vt_h2_c3,56,DT,0.8928571428571429,0.09045454545454545,0.10494452089031281
vt_h2_c3,56,FT_K1,0.7142857142857143,0.15045454545454545,0.2310730907639181
vt_h2_c3,56,ifr-tokenwise,0.7857142857142857,0.16318181818181818,0.24417175256038232
vt_h2_c3,56,FT_K3,0.7142857142857143,,
vt_h2_c3,57,DT,0.8214285714285714,0.09823943661971832,0.11578300995464955
vt_h2_c3,57,FT_K1,0.7857142857142857,0.14908450704225348,0.21908648808089368
vt_h2_c3,57,ifr-tokenwise,0.7857142857142857,0.15542253521126762,0.22844051609699986
vt_h2_c3,57,FT_K3,0.7857142857142857,,
vt_h2_c3,58,DT,0.75,0.11283592644978786,0.12739433460812438
vt_h2_c3,58,FT_K1,0.6785714285714286,0.15739038189533242,0.22061056150931163
vt_h2_c3,58,ifr-tokenwise,0.75,0.17577793493635077,0.24440784463020265
vt_h2_c3,58,FT_K3,0.6785714285714286,,
vt_h2_c3,59,DT,0.8518518518518519,0.11451612903225805,0.14076610528058106
vt_h2_c3,59,FT_K1,0.7407407407407407,0.14852150537634407,0.22295590992741632
vt_h2_c3,59,ifr-tokenwise,0.8148148148148148,0.1603494623655914,0.23576450994674408
vt_h2_c3,59,FT_K3,0.7407407407407407,,
vt_h2_c3,60,DT,0.7931034482758621,0.09375000000000003,0.11089052581717537
vt_h2_c3,60,FT_K1,0.6206896551724138,0.15411931818181818,0.21878391461857633
vt_h2_c3,60,ifr-tokenwise,0.7586206896551724,0.16818181818181815,0.24165679437502022
vt_h2_c3,60,FT_K3,0.6206896551724138,,
vt_h2_c3,61,DT,0.8461538461538461,0.10986486486486487,0.1199350664039595
vt_h2_c3,61,FT_K1,0.6923076923076923,0.1516216216216216,0.22688465162480909
vt_h2_c3,61,ifr-tokenwise,0.7692307692307693,0.1577027027027027,0.23539740230326273
vt_h2_c3,61,FT_K3,0.6923076923076923,,
vt_h2_c3,62,DT,0.8214285714285714,0.1121345029239766,0.12378218354648049
vt_h2_c3,62,FT_K1,0.6428571428571429,0.16198830409356724,0.23328099074889294
vt_h2_c3,62,ifr-tokenwise,0.7142857142857143,0.16739766081871343,0.249236420760352
vt_h2_c3,62,FT_K3,0.6428571428571429,,
vt_h2_c3,63,DT,0.7857142857142857,0.09933333333333334,0.11418328369532318
vt_h2_c3,63,FT_K1,0.6071428571428571,0.14383333333333334,0.2241346299491648
vt_h2_c3,63,ifr-tokenwise,0.7857142857142857,0.16283333333333333,0.2339489755795312
vt_h2_c3,63,FT_K3,0.6071428571428571,,
vt_h2_c3,64,DT,0.8461538461538461,0.10909785932721713,0.13354910115449195
vt_h2_c3,64,FT_K1,0.7307692307692307,0.15496941896024466,0.22248491587103505
vt_h2_c3,64,ifr-tokenwise,0.8076923076923077,0.1682721712538226,0.23960628566579115
vt_h2_c3,64,FT_K3,0.7307692307692307,,
vt_h2_c3,65,DT,0.75,0.10400552486187846,0.11359232288983442
