model,scope,name,status,allocated_before,seconds,peak_allocated,peak_reserved,new_compiled_graphs,compiler_events_seconds_inclusive
qwen3,main,niah_mq_q2_39_DT_positive_original_metrics,returned,16449673728,2.306950282305479,16861138432,25276973056,0,{}
qwen3,main,niah_mq_q2_39_original_FT_K1,returned,16449673728,0.5200164541602135,18403678720,25276973056,0,{}
qwen3,main,niah_mq_q2_39_FT_K1_original_metrics,returned,16449673728,2.3098565004765987,16861138432,25276973056,0,{}
qwen3,main,niah_mq_q2_39_original_FT_K3,returned,16449673728,0.8180312439799309,18403678720,25276973056,0,{}
qwen3,main,niah_mq_q2_40_DT,returned,16449693696,1.1126321032643318,18622671360,25276973056,0,{}
qwen3,main,niah_mq_q2_40_DT_positive_original_metrics,returned,16449693696,4.704641126096249,17167477248,25276973056,0,{}
qwen3,main,niah_mq_q2_40_original_FT_K1,returned,16449693696,0.7560585141181946,21089464832,25276973056,0,{}
qwen3,main,niah_mq_q2_40_FT_K1_original_metrics,returned,16449693696,4.7196065448224545,17167477248,25276973056,0,{}
qwen3,main,niah_mq_q2_40_original_FT_K3,returned,16449693696,1.2402910105884075,21089464832,25276973056,0,{}
qwen3,main,niah_mq_q2_41_DT,returned,16449697792,1.2677046097815037,18866880512,25276973056,0,{}
qwen3,main,niah_mq_q2_41_DT_positive_original_metrics,returned,16449697792,5.237258329987526,17231905792,25276973056,0,{}
qwen3,main,niah_mq_q2_41_original_FT_K1,returned,16449697792,0.8578407727181911,21817512960,25276973056,0,{}
qwen3,main,niah_mq_q2_41_FT_K1_original_metrics,returned,16449697792,5.243745122104883,17231905792,25276973056,0,{}
qwen3,main,niah_mq_q2_41_original_FT_K3,returned,16449697792,1.3610600978136063,21817512960,25276973056,0,{}
qwen3,main,niah_mq_q2_42_DT,returned,16449673728,0.6986665576696396,17866593792,25276973056,0,{}
qwen3,main,niah_mq_q2_42_DT_positive_original_metrics,returned,16449673728,2.3415624611079693,16864784896,25276973056,0,{}
qwen3,main,niah_mq_q2_42_original_FT_K1,returned,16449673728,0.5207652673125267,18416082944,25276973056,0,{}
qwen3,main,niah_mq_q2_42_FT_K1_original_metrics,returned,16449673728,2.35461962595582,16864784896,25276973056,0,{}
qwen3,main,niah_mq_q2_42_original_FT_K3,returned,16449673728,0.8660068027675152,18416082944,25276973056,0,{}
qwen3,main,niah_mq_q2_43_DT,returned,16449673728,0.6859524324536324,17855606784,25276973056,0,{}
qwen3,main,niah_mq_q2_43_DT_positive_original_metrics,returned,16449673728,2.365970619022846,16861138432,25276973056,0,{}
